lemma	lemmaLabel	variant	variantLabel
lemma/156457	intereo	lemma/108458	intereo
lemma/156536	consilio	lemma/43717	consilio
lemma/156536	consilio	lemma/96058	consilior
lemma/156532	glomo	lemma/55568	glomo
lemma/156446	exbannio	lemma/50427	exbannio
lemma/156798	conuicio	lemma/141741	conuitio
lemma/156798	conuicio	lemma/96460	conuicior
lemma/156480	appraemio	lemma/31210	appremio
lemma/156790	disunior	lemma/136431	disunio
lemma/156497	acuo	lemma/87327	acuo
lemma/168900	aginor	lemma/88096	agino
lemma/169012	confabrico	lemma/95709	confabricor
lemma/169171	incurueo	lemma/107237	incuruo
lemma/169479	pollinceo	lemma/118305	pollingo
lemma/169792	suffulceo	lemma/126640	suffulcio
lemma/142761	absentor	lemma/87001	absento
lemma/103921	fugo	lemma/103923	fugio
lemma/35084	benigno	lemma/91495	benignor
lemma/103922	fugio	lemma/103923	fugio
lemma/113646	nexo	lemma/113647	nexo
lemma/102460	extrico	lemma/141803	extricor
lemma/40328	causidico	lemma/93265	causidicor
lemma/96398	conturbo	lemma/43986	conturbor
lemma/116589	peragro	lemma/142017	peragror
lemma/127120	suspector	lemma/127121	suspecto
lemma/127121	suspecto	lemma/127120	suspector
lemma/105657	honoror	lemma/105658	honoro
lemma/105658	honoro	lemma/105657	honoror
lemma/110886	lucror	lemma/110887	lucro
lemma/110887	lucro	lemma/110886	lucror
