lexeme	lila_lemma	wikibase_entry
c1753	94124	L19621
c1754	94125	L19622
c1756	94127	L19623
c1758	94129	L19624
c1762	94133	L19625
c1763	94134	L19626
c1764	94135	L19627
c1765	94136	L19628
c1768	94139	L19629
c1769	94140	L19630
c1771	94142	L19631
c1772	94143	L19632
c1773	94144	L19633
c1774	94145	L19634
c1777	94148	L19635
c1778	94149	L19636
c1781	94152	L19637
c1782	94153	L19638
c1785	94156	L19639
c1786	94157	L19640
c1787	94158	L19641
c1792	94163	L19642
c1794	94166	L19643
c1795	94167	L19644
c1797	94169	L19645
c1798	94170	L19646
c1802	94175	L19647
c1803	94176	L19648
c1804	94177	L19649
c1805	94178	L19650
c1808	94181	L19651
c1809	94183	L19652
c1810	94184	L19653
c1811	94185	L19654
c1812	94186	L19655
c1813	94187	L19656
c1814	94188	L19657
c1815	94189	L19658
c1815	94189	L19658
c1819	94193	L19659
c1820	94194	L19660
c1821	94195	L19661
c1822	94196	L19662
c1823	94197	L19663
c1826	94200	L19664
c1828	94202	L19665
c1831	94205	L19666
c1832	94207	L19667
c1833	94208	L19668
c1834	94209	L19669
c1835	94210	L19670
c1838	94213	L19671
c1839	94214	L19672
c1840	94215	L19673
c1842	94217	L19674
c1844	94219	L19675
c1845	94220	L19676
c1846	94221	L19677
c1847	94222	L19678
c1848	94223	L19679
c1849	94224	L19680
c1850	94225	L19681
c1851	94226	L19682
c1853	94228	L19683
c1854	94229	L19684
c1855	94230	L19685
c1856	94231	L19686
c1859	94234	L19687
c1861	94236	L19688
c1862	94238	L19689
c1863	94239	L19690
c1865	94241	L19691
c1866	94242	L19692
c1867	94244	L19693
c1869	94246	L19694
c1870	94247	L19695
c1875	94252	L19696
c1877	94254	L19697
c1878	94255	L19698
c1879	94256	L19699
c1880	94257	L19700
c1881	94258	L19701
c1883	94260	L19702
c1888	94265	L19703
c1890	94267	L19704
c1891	94268	L19705
c1892	94269	L19706
c1893	94270	L19707
c1894	94271	L19708
c1896	94273	L19709
c1897	94274	L19710
c1898	94275	L19711
c1899	94276	L19712
c1900	94277	L19713
c1901	94278	L19714
c1903	94281	L19715
c1904	94282	L19716
c1905	94283	L19717
c1907	94285	L19718
c1908	94286	L19719
c1909	94287	L19720
c1910	94288	L19721
c1911	94289	L19722
c1912	94290	L19723
c1914	94292	L19724
c1916	94294	L19725
c1917	94296	L19726
c1918	94297	L19727
c1920	94299	L19728
c1921	94300	L19729
c1925	94304	L19730
c1927	94306	L19731
c1928	94307	L19732
c1929	94308	L19733
c1930	94309	L19734
c1931	94310	L19735
c1933	94312	L19736
c1934	94313	L19737
c1935	94314	L19738
c1936	94315	L19739
c1938	94317	L19740
c1986	94372	L19741
c1991	94378	L19742
c2018	94410	L19743
c2019	94411	L19744
c2027	94419	L19745
c2030	94422	L19746
c2030_sc	94423	L19747
c2031	94424	L19748
c2033	94426	L19749
c2037	94430	L19750
c2038	94431	L19751
c2044	94437	L19752
c2054	94451	L19753
c2058	94459	L19754
c2060	94461	L19755
c2072	94473	L19756
c2089	94490	L19757
c2092	94493	L19758
c2097	94498	L19759
c2115	94516	L19760
c2117	94519	L19761
c2121	94523	L19762
c2137	94542	L19763
c2139	94544	L19764
c2140	94545	L19765
c2143	94548	L19766
c2145	94552	L19767
c2160	94568	L19768
c2162	94570	L19769
c2176	94585	L19770
c2177	94586	L19771
c2185	94595	L19772
c2189	94599	L19773
c2191	94601	L19774
c2192	94602	L19775
c2193	94603	L19776
c2196	94606	L19777
c2198	94608	L19778
c2199	94609	L19779
c2201	94611	L19780
c2202	94612	L19781
c2206	94617	L19782
c2209	94620	L19783
c2210	94621	L19784
c2212	94623	L19785
c2217	94628	L19786
c2219	94630	L19787
c2219	94630	L19787
c2222	94633	L19788
c2224	94635	L19789
c2228	94639	L19790
c2229	94640	L19791
c2232	94643	L19792
c2234	94645	L19793
c2235	94646	L19794
c2238	94649	L19795
c2238	94649	L19795
c2240	94651	L19796
c2241	94652	L19797
c2262	94676	L19798
c2268	94682	L19799
c2280	94694	L19800
c2281	94695	L19801
c2285	94699	L19802
c2286	94700	L19803
c2287	94701	L19804
c2290	94704	L19805
c2293	94707	L19806
c2294	94708	L19807
c2304	94718	L19808
c2320	94736	L19809
c2322	94738	L19810
c2323	94739	L19811
c2326	94742	L19812
c2327	94743	L19813
c2330	94746	L19814
c2333	94749	L19815
c2334	94750	L19816
c2341	94758	L19817
c2343	94760	L19818
c2344	94761	L19819
c2346	94763	L19820
c2349	94766	L19821
c2350	94767	L19822
c2350	94767	L19822
c2353	94772	L19823
c2361	94782	L19824
c2365	94786	L19825
c2366	94787	L19826
c2367	94788	L19827
c2368	94789	L19828
c2369	94790	L19829
c2370	94791	L19830
c2371	94792	L19831
c2373	94795	L19832
c2376	94799	L19833
c2377	94800	L19834
c2381	94807	L19835
c2386	94813	L19836
c2390	94817	L19837
c2391	94818	L19838
c2403	94831	L19839
c2411	94840	L19840
c2411	94840	L19840
c2413	94842	L19841
c2414	94843	L19842
c2414	94843	L19842
c2418	94847	L19843
c2421	94850	L19844
c2425	94854	L19845
c2426	94855	L19846
c2426	94855	L19846
c2429	94859	L19847
c2430	94860	L19848
c2431	94861	L19849
c2431	94861	L19849
c2432	94862	L19850
c2434	94865	L19851
c2435	94866	L19852
c2436	94867	L19853
c2441	94872	L19854
c2442	94873	L19855
c2446	94877	L19856
