lexeme	lila_lemma	wikibase_entry
c2448	94879	L11797
c2451	94882	L11798
c2453	94884	L11799
c2455	94886	L11800
c2457	94890	L11801
c2458	94891	L11802
c2465	94898	L11803
c2467	94900	L11804
c2479	94915	L11805
c2480	94916	L11806
c2507	94947	L11807
c2511	94952	L11808
c2527	94973	L11809
c2556	95008	L11810
c2560	95012	L11811
c2563	95015	L11812
c2565	95017	L11813
c2566	95018	L11814
c2569	95021	L11815
c2592	95046	L11816
c2595	95052	L11817
c2598	95055	L11818
c2600	95057	L11819
c2601	95058	L11820
c2603	95060	L11821
c2604	95061	L11822
c2605	95062	L11823
c2607	95065	L11824
c2608	95066	L11825
c2609	95067	L11826
c2614	95072	L11827
c2614_sc	95073	L11828
c2615	95074	L11829
c2618	95077	L11830
c2619	95078	L11831
c2622	95081	L11832
c2627	95086	L11833
c2629	95088	L11834
c2631	95090	L11835
c2637	95097	L11836
c2645	95106	L11837
c2655	95118	L11838
c2656	95120	L11839
c2658	95122	L11840
c2660	95124	L11841
c2662	95126	L11842
c2663	95128	L11843
c2664	95129	L11844
c2665	95130	L11845
c2668	95133	L11846
c2671	95136	L11847
c2677	95143	L11848
c2678	95144	L11849
c2679	95145	L11850
c2682	95148	L11851
c2686	95152	L11852
c2689	95156	L11853
c2694	95163	L11854
c2704	95173	L11855
c2710	95181	L11856
c2711	95182	L11857
c2712	95183	L11858
c2713	95184	L11859
c2714	95185	L11860
c2719	95192	L11861
c2722	95195	L11862
c2723	95196	L11863
c2724	95198	L11864
c2725	95199	L11865
c2731	95205	L11866
c2733	95207	L11867
c2734	95208	L11868
c2735	95209	L11869
c2736	95210	L11870
c2737	95211	L11871
