token,linked_form
Q42383,L23334-F192
Q45342,L25938-F4
Q17235,L23334-F10
Q65779,L25938-F4
Q42383,L23334-F284
Q30466,L24804-F116
Q41559,L23334-F18
Q69618,L25194-F78
Q29794,L24134-F4
Q47562,L25938-F30
Q35551,L21894-F146
Q56241,L22723-F167
Q11850,L20858-F87
Q47681,L25938-F1
Q67725,L25938-F4
Q37100,L23818-F4
Q45360,L24255-F4
Q43178,L24268-F4
Q57778,L25938-F108
Q28601,L24268-F7
Q14754,L21001-F110
Q58999,L26261-F4
Q37326,L21214-F40
Q6489,L19868-F161
Q47699,L25938-F4
Q12173,L20887-F4
Q17845,L21213-F159
Q28501,L22721-F2
Q2774,L18960-F34
Q29038,L25938-F1
Q31910,L25606-F7
Q67705,L25938-F4
Q71652,L24268-F4
Q57389,L22180-F1
Q10594,L20425-F178
Q62933,L26261-F61
Q17164,L23334-F1
Q69122,L22180-F4
Q20199,L25938-F4
Q46909,L26516-F147
Q28409,L21825-F4
Q24098,L25567-F109
Q64712,L23334-F24
Q22035,L25938-F24
Q30919,L25938-F4
Q28210,L22180-F7
Q15267,L21001-F304
Q44825,L25938-F4
Q32247,L26584-F23
Q26700,L25938-F7
Q50864,L23749-F55
Q38840,L24594-F4
Q28491,L22721-F8
Q2762,L18960-F4
Q32342,L25938-F4
Q6490,L19868-F161
Q14755,L21001-F8
Q36101,L24255-F4
Q37340,L21213-F1
Q39837,L25938-F4
Q67716,L25938-F4
Q55471,L26516-F5
Q46584,L26584-F59
Q34396,L25207-F84
Q25215,L21143-F58
Q53126,L23749-F199
Q11851,L20858-F4
Q35606,L24268-F4
Q20368,L24625-F4
Q53698,L25938-F4
Q57756,L25938-F108
Q27663,L25938-F4
Q30926,L25938-F4
Q19628,L21213-F4
Q10595,L20425-F4
Q36984,L25938-F108
Q32218,L23749-F199
Q5404,L19611-F13
Q17568,L26215-F7
Q2763,L18960-F34
Q54656,L24268-F4
Q4151,L19265-F122
Q32782,L25938-F7
Q20200,L25938-F4
Q53688,L25938-F4
Q13462,L21001-F122
Q56581,L23496-F162
Q67702,L25938-F4
Q12087,L20885-F61
Q7999,L20212-F346
Q43564,L25200-F4
Q54952,L21817-F192
Q30432,L24268-F5
Q42649,L25938-F4
Q26706,L25938-F4
Q2775,L18960-F4
Q43116,L25938-F109
Q20172,L25938-F7
Q39776,L25938-F1
Q26696,L24334-F184
Q7584,L20094-F247
Q12123,L20885-F266
Q22036,L25938-F4
Q9709,L20346-F18
Q18792,L25938-F1
Q29023,L25938-F4
Q29551,L26167-F19
Q31124,L26584-F267
Q39391,L22581-F1
Q29952,L25938-F4
Q46667,L26584-F131
Q2751,L18960-F4
Q55545,L21011-F7
Q13290,L21001-F8
Q44025,L25938-F1
Q9699,L20346-F18
Q59288,L25938-F4
Q31820,L25938-F4
Q8553,L20216-F215
Q69119,L23334-F174
Q42433,L23334-F36
Q42621,L25938-F4
Q4339,L19288-F36
Q13284,L21001-F110
Q59961,L23254-F55
Q63696,L22721-F458
Q30891,L24268-F4
Q29004,L25938-F4
Q39199,L23749-F199
Q37536,L23293-F266
Q4161,L19265-F110
Q49989,L24594-F4
Q14205,L21001-F110
Q22014,L25938-F4
Q2537,L18960-F42
Q39297,L21050-F4
Q47629,L24268-F4
Q4347,L19288-F294
Q68715,L25938-F7
Q12800,L21001-F8
Q10535,L20425-F172
Q1118,L18707-F149
Q38357,L24568-F61
Q34225,L23887-F178
Q14201,L21001-F8
Q23013,L23818-F4
Q4290,L19288-F20
Q59208,L24305-F10
Q62258,L25938-F4
Q44474,L25008-F8
Q36766,L25103-F93
Q27322,L21894-F7
Q41845,L26577-F176
Q39264,L25938-F4
Q35971,L25938-F7
Q25700,L25938-F108
Q36433,L25938-F7
Q33146,L25938-F1
Q69811,L24255-F258
Q27546,L25938-F1
Q43993,L25938-F109
Q62414,L22180-F4
Q20560,L23243-F44
Q9645,L20346-F36
Q19143,L22721-F110
Q64175,L26516-F58
Q33516,L21143-F7
Q56650,L23330-F1
Q18138,L25938-F30
Q59807,L22180-F1
Q30916,L23818-F4
Q22700,L24625-F159
Q12344,L20939-F166
Q19642,L25938-F4
Q33157,L25938-F4
Q58644,L21213-F55
Q26375,L21317-F366
Q43517,L25938-F4
Q63978,L24649-F8
Q56098,L25938-F4
Q37356,L25938-F4
Q35878,L24255-F258
Q64514,L25938-F7
Q5085,L19543-F266
Q11333,L20611-F4
Q20845,L26297-F1
Q21889,L25064-F1
