flexeme	lexeme	lila_lemma	wikibase_entry
i1176_5706	i1176	107246	L5408
i1179_5707	i1179	107249	L5409
i1185_5708	i1185	107256	L5410
i1190_5709	i1190	107262	L5411
i1197_5710	i1197	107269	L5412
i1228_5711	i1228	107302	L5413
i1252_5712	i1252	107327	L5414
i1253_5713	i1253	107328	L5415
i1264_5715	i1264	107340	L5416
i1270_5716	i1270	107347	L5417
i1272_5717	i1272	107349	L5418
i1272_5718	i1272	107349	L5419
i1280_5720	i1280	107359	L5420
i1286_5721	i1286	107365	L5421
i1290_5722	i1290	107370	L5422
i1290_5723	i1290	107370	L5423
i1295_5724	i1295	107375	L5424
i1325_5725	i1325	107406	L5425
i1336_5726	i1336	107417	L5426
i1342_5727	i1342	107425	L5427
i1342_5728	i1342	107425	L5428
i1343_5729	i1343	107426	L5429
i1346_5730	i1346	107429	L5430
i1351_5731	i1351	107434	L5431
i1352_5732	i1352	107435	L5432
i1352_5733	i1352	107435	L5433
i1361_5734	i1361	107446	L5434
i1362_5735	i1362	107447	L5435
i1366_5737	i1366	107451	L5436
i1366_5738	i1366	107451	L5437
i1366_5739	i1366	107451	L5438
i1367_5740	i1367	107452	L5439
i1368_5741	i1368	107453	L5440
i1369_5742	i1369	107454	L5441
i1372_5743	i1372	107457	L5442
i1383_5744	i1383	107470	L5443
i1408_5745	i1408	107495	L5444
i1421_5746	i1421	107508	L5445
i1423_5749	i1423	107510	L5446
i1428_5750	i1428	107515	L5447
i1431_5751	i1431	107519	L5448
i1433_5752	i1433	107521	L5449
i1439_5753	i1439	107528	L5450
i1503_5754	i1503	107592	L5451
i1503_5755	i1503	107592	L5452
i1509_5756	i1509	107600	L5453
i1517_5757	i1517	107610	L5454
i1522_5758	i1522	107616	L5455
i1527_5759	i1527	107623	L5456
i1534_5760	i1534	107632	L5457
i1534_5761	i1534	107632	L5458
i1538_5762	i1538	107636	L5459
i1541_5763	i1541	107639	L5460
i1541_5764	i1541	107639	L5461
i1541_5765	i1541	107639	L5462
i1541_5766	i1541	107639	L5463
i1541_5767	i1541	107639	L5464
i1541_5768	i1541	107639	L5465
i1541_5769	i1541	107639	L5466
i1541_5770	i1541	107639	L5467
i1544_5772	i1544	107643	L5468
i1548_5773	i1548	107649	L5469
i1548_5774	i1548	107649	L5470
i1552_5776	i1552	107653	L5471
i1553_5777	i1553	107654	L5472
i1553_sc_5779	i1553_sc	107655	L5473
i1557_5780	i1557	107660	L5474
i1559_5781	i1559	107662	L5475
i1562_5782	i1562	107665	L5476
i1563_5783	i1563	107666	L5477
i1567_5784	i1567	107670	L5478
i1567_5785	i1567	107670	L5479
i1572_5786	i1572	107675	L5480
i1574_5787	i1574	107677	L5481
i1575_5788	i1575	107678	L5482
i1584_5789	i1584	107690	L5483
i1586_5790	i1586	107693	L5484
i1587_5791	i1587	107694	L5485
